Gurobi shell based on Python 3.13.1 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.13.1 with 'import gurobipy'
/var/spool/slurm/slurmd/job21007463/slurm_script: line 24: activate: No such file or directory
Cutting Planes In: 14, Cutting Planes Out: 12, Solve Time: 115.18109583854675 seconds
Cutting Planes In: 14, Cutting Planes Out: 14, Solve Time: 34.712509870529175 seconds
Cutting Planes In: 14, Cutting Planes Out: 16, Solve Time: 123.91994524002075 seconds
Cutting Planes In: 14, Cutting Planes Out: 18, Solve Time: 135.97661066055298 seconds
Cutting Planes In: 14, Cutting Planes Out: 20, Solve Time: 62.578368186950684 seconds
Cutting Planes In: 16, Cutting Planes Out: 0, Solve Time: 0.6965503692626953 seconds
Cutting Planes In: 16, Cutting Planes Out: 2, Solve Time: 6.61766505241394 seconds
Cutting Planes In: 16, Cutting Planes Out: 4, Solve Time: 12.772276401519775 seconds
Cutting Planes In: 16, Cutting Planes Out: 6, Solve Time: 17.988260507583618 seconds
Cutting Planes In: 16, Cutting Planes Out: 8, Solve Time: 24.247915983200073 seconds
Cutting Planes In: 16, Cutting Planes Out: 10, Solve Time: 76.15507388114929 seconds
Cutting Planes In: 16, Cutting Planes Out: 12, Solve Time: 36.62711691856384 seconds
Cutting Planes In: 16, Cutting Planes Out: 14, Solve Time: 105.74753618240356 seconds
Cutting Planes In: 16, Cutting Planes Out: 16, Solve Time: 52.335020303726196 seconds
Cutting Planes In: 16, Cutting Planes Out: 18, Solve Time: 52.43656873703003 seconds
Cutting Planes In: 16, Cutting Planes Out: 20, Solve Time: 69.02666187286377 seconds
Cutting Planes In: 18, Cutting Planes Out: 0, Solve Time: 0.6893906593322754 seconds
Cutting Planes In: 18, Cutting Planes Out: 2, Solve Time: 5.538156747817993 seconds
Cutting Planes In: 18, Cutting Planes Out: 4, Solve Time: 8.36661171913147 seconds
Cutting Planes In: 18, Cutting Planes Out: 6, Solve Time: 21.080008506774902 seconds
Cutting Planes In: 18, Cutting Planes Out: 8, Solve Time: 29.186745166778564 seconds
Cutting Planes In: 18, Cutting Planes Out: 10, Solve Time: 87.06565427780151 seconds
Cutting Planes In: 18, Cutting Planes Out: 12, Solve Time: 36.46302890777588 seconds
Cutting Planes In: 18, Cutting Planes Out: 14, Solve Time: 43.066035747528076 seconds
Cutting Planes In: 18, Cutting Planes Out: 16, Solve Time: 156.1245789527893 seconds
Cutting Planes In: 18, Cutting Planes Out: 18, Solve Time: 172.08224844932556 seconds
Cutting Planes In: 18, Cutting Planes Out: 20, Solve Time: 72.10171961784363 seconds
Cutting Planes In: 20, Cutting Planes Out: 0, Solve Time: 0.682772159576416 seconds
Cutting Planes In: 20, Cutting Planes Out: 2, Solve Time: 6.926188707351685 seconds
Cutting Planes In: 20, Cutting Planes Out: 4, Solve Time: 17.583221673965454 seconds
Cutting Planes In: 20, Cutting Planes Out: 6, Solve Time: 25.676773071289062 seconds
